Hours	|	Distance Traveled
---------------------------------
1	|	66
2	|	132
3	|	198
4	|	264
5	|	330
6	|	396
7	|	462
8	|	528
9	|	594
10	|	660
11	|	726
12	|	792
13	|	858
14	|	924
15	|	990
16	|	1056
17	|	1122
18	|	1188
19	|	1254
20	|	1320
21	|	1386
22	|	1452
23	|	1518
24	|	1584
25	|	1650
26	|	1716
27	|	1782
28	|	1848
29	|	1914
30	|	1980
31	|	2046
32	|	2112
33	|	2178
34	|	2244
35	|	2310
36	|	2376
37	|	2442
38	|	2508
39	|	2574
40	|	2640
41	|	2706
42	|	2772
43	|	2838
44	|	2904
45	|	2970
46	|	3036
47	|	3102
48	|	3168
49	|	3234
50	|	3300
51	|	3366
52	|	3432
53	|	3498
54	|	3564
55	|	3630
56	|	3696
57	|	3762
58	|	3828
59	|	3894
60	|	3960
61	|	4026
62	|	4092
63	|	4158
64	|	4224
65	|	4290
66	|	4356
67	|	4422
68	|	4488
69	|	4554
70	|	4620
71	|	4686
72	|	4752
73	|	4818
74	|	4884
75	|	4950
76	|	5016
77	|	5082
78	|	5148
79	|	5214
80	|	5280
81	|	5346
82	|	5412
83	|	5478
84	|	5544
85	|	5610
86	|	5676
87	|	5742
88	|	5808
89	|	5874
90	|	5940
91	|	6006
92	|	6072
93	|	6138
94	|	6204
95	|	6270
96	|	6336
97	|	6402
98	|	6468
99	|	6534
100	|	6600
101	|	6666
102	|	6732
103	|	6798
104	|	6864
105	|	6930
106	|	6996
107	|	7062
108	|	7128
109	|	7194
110	|	7260
111	|	7326
112	|	7392
113	|	7458
114	|	7524
115	|	7590
116	|	7656
117	|	7722
118	|	7788
119	|	7854
120	|	7920
121	|	7986
122	|	8052
123	|	8118
124	|	8184
125	|	8250
126	|	8316
127	|	8382
128	|	8448
129	|	8514
130	|	8580
131	|	8646
132	|	8712
133	|	8778
134	|	8844
135	|	8910
136	|	8976
137	|	9042
138	|	9108
139	|	9174
140	|	9240
141	|	9306
142	|	9372
143	|	9438
144	|	9504
145	|	9570
146	|	9636
147	|	9702
148	|	9768
149	|	9834
